,order_number,order_date,customer_names,channel,product_name,order_quantity,unit_price,revenue,total unit cost,state,county,state_name,region,lat,long,budget,total_cost,profit,profit_margin_pct,order_month_name,order_month_num,order_month
10,SO - 0004272,01-01-2014,Nexus Group,Wholesale,Product 26,11,2257.9,24836.9,1196.687,IN,Monroe County,Indiana,Midwest,39.11904,-86.51979,,13163.557,11673.343,47,January,1,2014-01
11,SO - 0004580,01-01-2014,Jayo Company,Export,Product 4,5,1232.8,6164,628.728,IL,Kendall County/Kane County/Will County/DuPage County,Illinois,Midwest,41.76346,-88.2901,,3143.64,3020.36,49,January,1,2014-01
12,SO - 0004646,01-01-2014,Jabbercube Corp,Wholesale,Product 25,5,3859.2,19296,2855.808,CA,Riverside County,California,West,33.72058,-116.21556,,14279.04,5016.96,26,January,1,2014-01
13,SO - 0007608,01-01-2014,Eire Corp,Distributor,Product 15,10,1983.2,19832,1606.392,OH,Montgomery County,Ohio,Midwest,39.75895,-84.19161,,16063.92,3768.08,19,January,1,2014-01
14,SO - 0007951,01-01-2014,Muxo Group,Distributor,Product 3,7,167.5,1172.5,135.675,IL,Kane County,Illinois,Midwest,41.94151,-88.321,,949.725,222.775,19,January,1,2014-01
15,SO - 0001068,01-01-2014,Fatz Group,Export,Product 10,11,924.6,10170.6,656.466,NY,Suffolk County,New York,Northeast,40.71258,-73.19552,,7221.126,2949.474,29,January,1,2014-01
16,SO - 0002010,01-01-2014,WOCKHARDT Group,Distributor,Product 11,11,1045.2,11497.2,543.504,MI,Clinton County/Ingham County/Eaton County,Michigan,Midwest,42.71434,-84.55928,,5978.544,5518.656,48,January,1,2014-01
17,SO - 0002504,01-01-2014,Colgate-Pa Group,Export,Product 27,11,1976.5,21741.5,790.6,PA,Allegheny County,Pennsylvania,Northeast,40.44062,-79.99589,,8696.6,13044.9,60,January,1,2014-01
18,SO - 0009931,01-01-2014,sanofi-ave Group,Wholesale,Product 13,6,6525.8,39154.8,3589.19,AZ,Maricopa County,Arizona,West,33.37032,-112.58378,,21535.14,17619.66,45,January,1,2014-01
19,SO - 0009346,01-01-2014,CLINIQUE Ltd,Wholesale,Product 13,7,1011.7,7081.9,839.711,CA,Solano County,California,West,38.10409,-122.25664,,5877.977,1203.923,17,January,1,2014-01
20,SO - 0002468,01-01-2014,Roberts Company,Wholesale,Product 5,8,1983.2,15865.6,1348.576,CA,Los Angeles County,California,West,34.02862,-117.81034,,10788.608,5076.992,32,January,1,2014-01
21,SO - 0003850,01-01-2014,Epic Group,Wholesale,Product 13,6,2653.2,15919.2,1485.792,CA,Orange County,California,West,33.6603,-117.99923,,8914.752,7004.448,44,January,1,2014-01
22,SO - 0006279,01-01-2014,SAFEWAY Ltd,Distributor,Product 4,7,3845.8,26920.6,1538.32,FL,Polk County/Osceola County,Florida,South,28.11873,-81.47923,,10768.24,16152.36,60,January,1,2014-01
23,SO - 0006313,01-01-2014,Sanum-Kehl Group,Export,Product 16,8,1822.4,14579.2,1530.816,CA,Orange County,California,West,33.60002,-117.672,,12246.528,2332.672,16,January,1,2014-01
24,SO - 0010604,01-01-2014,Realbridge Corp,Wholesale,Product 19,11,5078.6,55864.6,4113.666,AL,Lee County,Alabama,South,32.60986,-85.48078,,45250.326,10614.274,19,January,1,2014-01
25,SO - 0008840,01-01-2014,Actavis Company,Distributor,Product 2,7,844.2,5909.4,616.266,LA,Jefferson Parish,Louisiana,South,29.98409,-90.15285,,4313.862,1595.538,27,January,1,2014-01
26,SO - 0004336,01-01-2014,Mita Corp,Export,Product 14,9,268,2412,227.8,NC,Durham County/Orange County,North Carolina,South,35.92812,-79.03742,,2050.2,361.8,15,January,1,2014-01
27,SO - 0005121,01-01-2014,Twitterbri Ltd,Wholesale,Product 30,6,5681.6,34089.6,4090.752,MA,Middlesex County,Massachusetts,Northeast,42.3751,-71.10561,,24544.512,9545.088,28,January,1,2014-01
28,SO - 0010233,01-01-2014,Jayo Company,Distributor,Product 2,7,3899.4,27295.8,1598.754,PA,Lancaster County,Pennsylvania,Northeast,40.03788,-76.30551,,11191.278,16104.522,59,January,1,2014-01
29,SO - 0002206,01-01-2014,General Company,Wholesale,Product 16,8,174.2,1393.6,109.746,CA,San Diego County,California,West,33.03699,-117.29198,,877.968,515.632,37,January,1,2014-01
30,SO - 0002543,01-01-2014,Terumo Corp,Export,Product 14,9,3644.8,32803.2,2587.808,CA,Los Angeles County,California,West,34.01945,-118.49119,,23290.272,9512.928,29,January,1,2014-01
31,SO - 0002921,01-01-2014,Bluezoom Group,Wholesale,Product 26,10,5875.9,58759,4289.407,NH,Hillsborough County,New Hampshire,Northeast,42.99564,-71.45479,,42894.07,15864.93,27,January,1,2014-01
32,SO - 0003715,01-01-2014,US Ltd,Wholesale,Product 26,10,1085.4,10854,857.466,IL,Winnebago County/Ogle County,Illinois,Midwest,42.25884,-89.06455,,8574.66,2279.34,21,January,1,2014-01
33,SO - 0004471,01-01-2014,Accudial Company,Wholesale,Product 14,12,2237.8,26853.6,939.876,GA,Richmond County,Georgia,South,33.36149,-82.075,,11278.512,15575.088,58,January,1,2014-01
34,SO - 0004751,01-01-2014,Aveda Group,Distributor,Product 8,9,1172.5,10552.5,515.9,CA,Riverside County,California,West,33.78252,-117.22865,,4643.1,5909.4,56,January,1,2014-01
35,SO - 0006833,01-01-2014,BB17 Company,Export,Product 4,7,2613,18291,2142.66,NJ,Morris County,New Jersey,Northeast,40.85964,-74.42335,,14998.62,3292.38,18,January,1,2014-01
36,SO - 0008532,01-01-2014,Wordware Company,Wholesale,Product 5,11,938,10318,675.36,UT,Davis County,Utah,West,41.06022,-111.97105,,7428.96,2889.04,28,January,1,2014-01
37,SO - 0010560,01-01-2014,Aromaticos Company,Export,Product 16,6,2994.9,17969.4,2455.818,KY,Jefferson County,Kentucky,South,38.25424,-85.75941,,14734.908,3234.492,18,January,1,2014-01
38,SO - 0003527,02-01-2014,Amerisourc Corp,Wholesale,Product 18,11,1701.8,18719.8,1429.512,CA,Alameda County,California,West,37.54827,-121.98857,,15724.632,2995.168,16,January,1,2014-01
39,SO - 0003901,02-01-2014,Yodoo Ltd,Wholesale,Product 25,5,1728.6,8643,1019.874,NY,Westchester County,New York,Northeast,40.91149,-73.78235,,5099.37,3543.63,41,January,1,2014-01
40,SO - 0001098,02-01-2014,Golden Corp,Wholesale,Product 30,11,1675,18425,1155.75,IL,Sangamon County,Illinois,Midwest,39.79106,-89.64457,,12713.25,5711.75,31,January,1,2014-01
41,SO - 0001725,02-01-2014,Mita Corp,Wholesale,Product 15,8,6525.8,52206.4,2806.094,IL,Cook County/Will County,Illinois,Midwest,41.56858,-87.80422,,22448.752,29757.648,57,January,1,2014-01
42,SO - 0002795,02-01-2014,Buzzbean Group,Wholesale,Product 26,12,3872.6,46471.2,2517.19,IN,Vigo County,Indiana,Midwest,39.47555,-87.38835,,30206.28,16264.92,35,January,1,2014-01
43,SO - 0003310,02-01-2014,General Company,Distributor,Product 26,10,1038.5,10385,529.635,CA,Alameda County,California,West,37.59583,-122.01917,,5296.35,5088.65,49,January,1,2014-01
44,SO - 0004126,02-01-2014,ALK-Abello Ltd,Wholesale,Product 14,10,3041.8,30418,2038.006,FL,Pinellas County,Florida,South,27.8428,-82.69954,,20380.06,10037.94,33,January,1,2014-01
45,SO - 0005940,02-01-2014,Vinte Group,Export,Product 13,6,5212.6,31275.6,2814.804,CA,Santa Clara County,California,West,37.00578,-121.56828,,16888.824,14386.776,46,January,1,2014-01
46,SO - 0006793,02-01-2014,The Ltd,Export,Product 14,10,3953,39530,3043.81,MI,Wayne County,Michigan,Midwest,42.33143,-83.04575,,30438.1,9091.9,23,January,1,2014-01
47,SO - 0007868,02-01-2014,Wordpedia Ltd,Distributor,Product 3,9,850.9,7658.1,433.959,CA,Placer County,California,West,38.75212,-121.28801,,3905.631,3752.469,49,January,1,2014-01
48,SO - 0009934,02-01-2014,Cadila Ltd,Export,Product 3,11,2519.2,27711.2,1058.064,TX,McLennan County,Texas,South,31.54933,-97.14667,,11638.704,16072.496,58,January,1,2014-01
49,SO - 000791,02-01-2014,Jayo Company,Export,Product 17,5,3108.8,15544,1896.368,CA,Los Angeles County,California,West,33.99307,-117.96868,,9481.84,6062.16,39,January,1,2014-01
50,SO - 0003756,02-01-2014,Bath Group,Export,Product 30,10,221.1,2211,128.238,IL,Cook County/Will County,Illinois,Midwest,41.60815,-87.85929,,1282.38,928.62,42,January,1,2014-01
51,SO - 0004390,02-01-2014,Trunyx Ltd,Export,Product 16,6,5929.5,35577,4209.945,CT,New Haven County,Connecticut,Northeast,41.5585,-73.03668,,25259.67,10317.33,29,January,1,2014-01
52,SO - 0006241,02-01-2014,Roomm Company,Wholesale,Product 3,10,1065.3,10653,628.527,TX,Brazos County,Texas,South,30.62798,-96.33441,,6285.27,4367.73,41,January,1,2014-01
53,SO - 0008226,02-01-2014,Tambee Company,Wholesale,Product 20,11,938,10318,684.74,NY,Suffolk County,New York,Northeast,40.88409,-73.37676,,7532.14,2785.86,27,January,1,2014-01
54,SO - 0010346,02-01-2014,Voolia Ltd,Export,Product 4,5,5708.4,28542,2283.36,CT,New Haven County,Connecticut,Northeast,41.5585,-73.03668,,11416.8,17125.2,60,January,1,2014-01
55,SO - 0004104,02-01-2014,Podcat Corp,Wholesale,Product 23,7,3839.1,26873.7,2457.024,ND,Grand Forks County,North Dakota,Midwest,47.92526,-97.03285,,17199.168,9674.532,36,January,1,2014-01
56,SO - 0005545,02-01-2014,Dynazzy Company,Wholesale,Product 2,8,1098.8,8790.4,483.472,CT,Hartford County,Connecticut,Northeast,41.77524,-72.52443,,3867.776,4922.624,56,January,1,2014-01
57,SO - 0005765,02-01-2014,Talane Group,Distributor,Product 13,7,5688.3,39818.1,2502.852,CA,Alameda County,California,West,37.54827,-121.98857,,17519.964,22298.136,56,January,1,2014-01
58,SO - 0006767,02-01-2014,Oozz Group,Distributor,Product 16,10,1983.2,19832,1269.248,AZ,Maricopa County,Arizona,West,33.44838,-112.07404,,12692.48,7139.52,36,January,1,2014-01
59,SO - 0006883,02-01-2014,SHISEIDO Ltd,Distributor,Product 7,12,1246.2,14954.4,834.954,FL,Brevard County,Florida,South,28.03446,-80.58866,,10019.448,4934.952,33,January,1,2014-01
60,SO - 0007017,02-01-2014,Zoomzone Corp,Distributor,Product 5,9,3825.7,34431.3,2486.705,OH,Lorain County,Ohio,Midwest,41.45282,-82.18237,,22380.345,12050.955,35,January,1,2014-01
61,SO - 0007493,02-01-2014,Browsetype Corp,Wholesale,Product 18,8,2351.7,18813.6,1293.435,FL,Broward County,Florida,South,26.12231,-80.14338,,10347.48,8466.12,45,January,1,2014-01
62,SO - 0008686,02-01-2014,Vimbo Company,Export,Product 21,7,3189.2,22324.4,2647.036,CO,Weld County,Colorado,West,40.42331,-104.70913,,18529.252,3795.148,17,January,1,2014-01
63,SO - 0008746,02-01-2014,Cantrell Company,Distributor,Product 16,10,2244.5,22445,920.245,IN,Elkhart County,Indiana,Midwest,41.65183,-85.94312,,9202.45,13242.55,59,January,1,2014-01
64,SO - 0001523,02-01-2014,Accudial Company,Distributor,Product 25,5,6137.2,30686,4234.668,CT,Hartford County,Connecticut,Northeast,41.76371,-72.68509,,21173.34,9512.66,31,January,1,2014-01
65,SO - 0002194,02-01-2014,Quaxo Ltd,Wholesale,Product 20,7,2680,18760,1098.8,FL,Hernando County,Florida,South,28.47689,-82.52546,,7691.6,11068.4,59,January,1,2014-01
66,SO - 0002824,02-01-2014,Zooxo Ltd,Wholesale,Product 15,8,1092.1,8736.8,589.734,CA,Sacramento County,California,West,38.60336,-121.38005,,4717.872,4018.928,46,January,1,2014-01
67,SO - 0002859,02-01-2014,Realcube Company,Distributor,Product 8,11,1688.4,18572.4,776.664,IN,Vanderburgh County,Indiana,Midwest,37.97476,-87.55585,,8543.304,10029.096,54,January,1,2014-01
68,SO - 0003113,02-01-2014,Feednation Corp,Wholesale,Product 25,8,1802.3,14418.4,1297.656,CA,Stanislaus County,California,West,37.49466,-120.84659,,10381.248,4037.152,28,January,1,2014-01
69,SO - 0004190,02-01-2014,Mydo Corp,Wholesale,Product 13,10,3946.3,39463,2249.391,TX,Harris County,Texas,South,29.99883,-95.1766,,22493.91,16969.09,43,January,1,2014-01
70,SO - 0004531,02-01-2014,Neutrogena Ltd,Distributor,Product 12,6,3932.9,23597.4,2084.437,MI,Wayne County,Michigan,Midwest,42.33698,-83.27326,,12506.622,11090.778,47,January,1,2014-01
71,SO - 0004734,02-01-2014,Mylan Corp,Distributor,Product 11,9,1105.5,9949.5,486.42,NY,New York County,New York,Northeast,40.72833,-73.99417,,4377.78,5571.72,56,January,1,2014-01
72,SO - 0005505,02-01-2014,Realpoint Corp,Wholesale,Product 21,6,1802.3,10813.8,1315.679,TX,Wichita County,Texas,South,33.91371,-98.49339,,7894.074,2919.726,27,January,1,2014-01
73,SO - 0006105,02-01-2014,Neutrogena Ltd,Export,Product 14,11,1896.1,20857.1,777.401,FL,Broward County,Florida,South,26.12759,-80.2331,,8551.411,12305.689,59,January,1,2014-01
74,SO - 0007660,02-01-2014,Safecor Corp,Wholesale,Product 27,5,2921.2,14606,2103.264,MA,Norfolk County,Massachusetts,Northeast,42.33176,-71.12116,,10516.32,4089.68,28,January,1,2014-01
75,SO - 0009316,02-01-2014,Meejo Corp,Wholesale,Product 11,11,2867.6,31543.6,1319.096,CA,Los Angeles County,California,West,34.06862,-118.02757,,14510.056,17033.544,54,January,1,2014-01
76,SO - 0009694,02-01-2014,Fivechat Company,Wholesale,Product 14,10,911.2,9112,637.84,MO,Jackson County,Missouri,Midwest,39.01695,-94.28161,,6378.4,2733.6,30,January,1,2014-01
77,SO - 0008905,02-01-2014,Pacific Ltd,Wholesale,Product 2,7,1092.1,7644.7,589.734,IL,Cook County,Illinois,Midwest,42.03336,-87.8834,,4128.138,3516.562,46,January,1,2014-01
78,SO - 0010547,02-01-2014,NCS Group,Wholesale,Product 27,7,207.7,1453.9,176.545,WA,King County/Pierce County,Washington,West,47.30377,-122.21,,1235.815,218.085,15,January,1,2014-01
79,SO - 0001033,02-01-2014,Vimbo Company,Wholesale,Product 25,9,2552.7,22974.3,2093.214,CA,Los Angeles County,California,West,33.85363,-118.13396,,18838.926,4135.374,18,January,1,2014-01
80,SO - 0007387,02-01-2014,Brainspher Ltd,Wholesale,Product 26,8,938,7504,731.64,TX,Bell County,Texas,South,31.09823,-97.34278,,5853.12,1650.88,22,January,1,2014-01
81,SO - 0009903,02-01-2014,Voonyx Group,Wholesale,Product 11,11,3973.1,43704.1,3337.404,MN,Anoka County,Minnesota,Midwest,45.11997,-93.28773,,36711.444,6992.656,16,January,1,2014-01
82,SO - 0002911,03-01-2014,Mycone Ltd,Wholesale,Product 15,6,911.2,5467.2,665.176,FL,Miami-Dade County,Florida,South,25.67149,-80.4445,,3991.056,1476.144,27,January,1,2014-01
83,SO - 0003775,03-01-2014,Kazu Corp,Distributor,Product 18,12,891.1,10693.2,516.838,CA,Los Angeles County,California,West,34.14778,-118.14452,,6202.056,4491.144,42,January,1,2014-01
84,SO - 0004386,03-01-2014,Camido Company,Distributor,Product 19,9,1045.2,9406.8,418.08,IN,Hamilton County,Indiana,Midwest,39.96548,-86.14837,,3762.72,5644.08,60,January,1,2014-01
85,SO - 0004792,03-01-2014,Skinder Group,Wholesale,Product 1,6,167.5,1005,83.75,CA,Los Angeles County,California,West,33.97918,-118.03284,,502.5,502.5,50,January,1,2014-01
86,SO - 0005414,03-01-2014,Eayo Company,Wholesale,Product 25,7,1835.8,12850.6,1413.566,WI,Winnebago County,Wisconsin,Midwest,44.02471,-88.54261,,9894.962,2955.638,23,January,1,2014-01
87,SO - 0005609,03-01-2014,Ozu Ltd,Distributor,Product 10,7,3966.4,27764.8,1903.872,CA,Los Angeles County,California,West,34.00944,-118.10528,,13327.104,14437.696,52,January,1,2014-01
88,SO - 0006308,03-01-2014,US Ltd,Wholesale,Product 28,8,214.4,1715.2,124.352,AZ,Maricopa County,Arizona,West,33.42227,-111.82264,,994.816,720.384,42,January,1,2014-01
89,SO - 0006534,03-01-2014,Snaptags Ltd,Distributor,Product 15,9,5152.3,46370.7,3709.656,FL,Miami-Dade County,Florida,South,25.75871,-80.39839,,33386.904,12983.796,28,January,1,2014-01
90,SO - 0007139,03-01-2014,Quaxo Ltd,Wholesale,Product 2,6,2418.7,14512.2,1910.773,MA,Middlesex County,Massachusetts,Northeast,42.30791,-71.4362,,11464.638,3047.562,21,January,1,2014-01
91,SO - 0001045,03-01-2014,Lazzy Group,Export,Product 30,12,1125.6,13507.2,529.032,TX,Bell County,Texas,South,31.09823,-97.34278,,6348.384,7158.816,53,January,1,2014-01
92,SO - 0002195,03-01-2014,Mycone Ltd,Wholesale,Product 15,7,1675,11725,686.75,LA,Orleans Parish,Louisiana,South,29.95465,-90.07507,,4807.25,6917.75,59,January,1,2014-01
93,SO - 0002314,03-01-2014,Voolia Ltd,Wholesale,Product 14,5,6304.7,31523.5,2774.068,IL,Cook County,Illinois,Midwest,41.84454,-87.75929,,13870.34,17653.16,56,January,1,2014-01
94,SO - 0004070,03-01-2014,Kazu Corp,Distributor,Product 19,6,2646.5,15879,1243.855,SD,Minnehaha County/Lincoln County,South Dakota,Midwest,43.53834,-96.732,,7463.13,8415.87,53,January,1,2014-01
95,SO - 0006097,03-01-2014,Zoomdog Corp,Wholesale,Product 25,8,2010,16080,1386.9,PA,Erie County,Pennsylvania,Northeast,42.12922,-80.08506,,11095.2,4984.8,31,January,1,2014-01
96,SO - 0010022,03-01-2014,Aibox Company,Wholesale,Product 2,5,247.9,1239.5,185.925,ND,Cass County,North Dakota,Midwest,46.87719,-96.7898,,929.625,309.875,25,January,1,2014-01
97,SO - 0010373,03-01-2014,Dynazzy Company,Wholesale,Product 25,10,3906.1,39061,2695.209,NM,Santa Fe County,New Mexico,West,35.68698,-105.9378,,26952.09,12108.91,31,January,1,2014-01
98,SO - 0009496,03-01-2014,Roberts Company,Distributor,Product 25,6,5386.8,32320.8,3070.476,WI,Milwaukee County,Wisconsin,Midwest,43.01668,-88.00703,,18422.856,13897.944,43,January,1,2014-01
99,SO - 0010605,03-01-2014,SAFEWAY Ltd,Wholesale,Product 5,5,1065.3,5326.5,543.303,FL,Hernando County,Florida,South,28.47689,-82.52546,,2716.515,2609.985,49,January,1,2014-01
100,SO - 000717,03-01-2014,Ozu Ltd,Wholesale,Product 22,5,2291.4,11457,1581.066,IN,Vanderburgh County,Indiana,Midwest,37.96821,-87.49674,,7905.33,3551.67,31,January,1,2014-01
101,SO - 0002802,03-01-2014,BTA Corp,Distributor,Product 25,7,2559.4,17915.8,1612.422,IL,Will County,Illinois,Midwest,41.68366,-88.08834,,11286.954,6628.846,37,January,1,2014-01
102,SO - 0003853,03-01-2014,Talane Group,Distributor,Product 3,9,1809,16281,1338.66,NJ,Ocean County,New Jersey,Northeast,40.0908,-74.36126,,12047.94,4233.06,26,January,1,2014-01
103,SO - 0004109,03-01-2014,Browsebug Company,Wholesale,Product 13,9,1989.9,17909.1,1591.92,CA,Santa Clara County,California,West,37.33939,-121.89496,,14327.28,3581.82,20,January,1,2014-01
104,SO - 0004622,03-01-2014,Centizu Company,Wholesale,Product 3,11,2318.2,25500.2,1947.288,IL,Kendall County/Will County,Illinois,Midwest,41.5177,-88.14885,,21420.168,4080.032,16,January,1,2014-01
105,SO - 0004965,03-01-2014,True Ltd,Distributor,Product 4,7,3825.7,26779.9,1874.593,MA,Norfolk County,Massachusetts,Northeast,42.33176,-71.12116,,13122.151,13657.749,51,January,1,2014-01
106,SO - 0005431,03-01-2014,Buzzshare Company,Wholesale,Product 20,5,5514.1,27570.5,2536.486,OR,Multnomah County,Oregon,West,45.49818,-122.43148,,12682.43,14888.07,54,January,1,2014-01
107,SO - 0007483,03-01-2014,Fivebridge Ltd,Distributor,Product 25,9,944.7,8502.3,566.82,MA,Plymouth County,Massachusetts,Northeast,42.08343,-71.01838,,5101.38,3400.92,40,January,1,2014-01
108,SO - 0009671,03-01-2014,Natures Group,Distributor,Product 5,7,1105.5,7738.5,928.62,IL,Will County,Illinois,Midwest,41.59625,-88.08915,,6500.34,1238.16,16,January,1,2014-01
109,SO - 000187,03-01-2014,Bath Group,Wholesale,Product 13,5,891.1,4455.5,632.681,IN,St. Joseph County,Indiana,Midwest,41.66997,-86.27628,,3163.405,1292.095,29,January,1,2014-01
110,SO - 000198,03-01-2014,Roberts Company,Export,Product 30,11,2472.3,27195.3,1433.934,CO,Broomfield County,Colorado,West,39.92054,-105.08665,,15773.274,11422.026,42,January,1,2014-01
111,SO - 0003309,03-01-2014,Vimbo Company,Export,Product 19,7,2351.7,16461.9,1622.673,MN,Dakota County,Minnesota,Midwest,44.76774,-93.27772,,11358.711,5103.189,31,January,1,2014-01
112,SO - 0003348,03-01-2014,Amerisourc Corp,Wholesale,Product 8,12,884.4,10612.8,477.576,IN,Johnson County,Indiana,Midwest,39.61366,-86.10665,,5730.912,4881.888,46,January,1,2014-01
113,SO - 0003548,03-01-2014,H Ltd,Export,Product 26,7,1172.5,8207.5,644.875,NJ,Hudson County,New Jersey,Northeast,40.66871,-74.11431,,4514.125,3693.375,45,January,1,2014-01
114,SO - 0004273,03-01-2014,Walgreen Corp,Wholesale,Product 13,8,3832.4,30659.2,3219.216,TX,Williamson County,Texas,South,30.63269,-97.67723,,25753.728,4905.472,16,January,1,2014-01
115,SO - 0005395,03-01-2014,Skiptube Ltd,Distributor,Product 25,9,1011.7,9105.3,536.201,IA,Story County,Iowa,Midwest,42.03471,-93.61994,,4825.809,4279.491,47,January,1,2014-01
116,SO - 0010342,03-01-2014,Remedy Ltd,Wholesale,Product 5,9,1916.2,17245.8,1034.748,FL,Broward County,Florida,South,26.0112,-80.14949,,9312.732,7933.068,46,January,1,2014-01
117,SO - 0008833,03-01-2014,Rhynoodle Ltd,Wholesale,Product 4,10,6371.7,63717,2803.548,FL,Broward County,Florida,South,26.31841,-80.09977,,28035.48,35681.52,56,January,1,2014-01
118,SO - 0008201,03-01-2014,Oozz Group,Distributor,Product 26,8,3356.7,26853.6,1879.752,CA,Riverside County,California,West,33.78252,-117.22865,,15038.016,11815.584,44,January,1,2014-01
119,SO - 0008587,03-01-2014,Zoonoodle Ltd,Wholesale,Product 14,5,227.8,1139,186.796,KY,Jefferson County,Kentucky,South,38.25424,-85.75941,,933.98,205.02,18,January,1,2014-01
120,SO - 0009558,03-01-2014,Vitz Company,Distributor,Product 22,10,1232.8,12328,862.96,CA,San Bernardino County,California,West,34.03363,-117.04309,,8629.6,3698.4,30,January,1,2014-01
121,SO - 0001941,03-01-2014,Browsebug Company,Distributor,Product 5,12,1038.5,12462,581.56,MI,Calhoun County,Michigan,Midwest,42.32115,-85.17971,,6978.72,5483.28,44,January,1,2014-01
122,SO - 0001966,03-01-2014,Tekfly Group,Wholesale,Product 3,10,1172.5,11725,973.175,GA,Fulton County/Cobb County,Georgia,South,34.03945,-84.35095,,9731.75,1993.25,17,January,1,2014-01
123,SO - 0002436,03-01-2014,Flipstorm Group,Distributor,Product 27,11,3859.2,42451.2,1736.64,TX,Rockwall County/Kaufman County/Collin County/Denton County/Dallas County,Texas,South,32.79333,-96.76651,,19103.04,23348.16,55,January,1,2014-01
124,SO - 0003555,03-01-2014,Chatterbri Ltd,Distributor,Product 6,11,1829.1,20120.1,859.677,IN,Delaware County,Indiana,Midwest,40.19153,-85.38601,,9456.447,10663.653,53,January,1,2014-01
125,SO - 0004288,03-01-2014,Voolia Ltd,Export,Product 3,5,221.1,1105.5,152.559,CA,Santa Barbara County,California,West,34.95303,-120.43572,,762.795,342.705,31,January,1,2014-01
126,SO - 0004460,03-01-2014,Vitz Company,Wholesale,Product 20,12,5688.3,68259.6,4152.459,NJ,Camden County,New Jersey,Northeast,39.90461,-74.997,,49829.508,18430.092,27,January,1,2014-01
127,SO - 0004900,03-01-2014,Terumo Corp,Wholesale,Product 2,10,2405.3,24053,986.173,NY,Erie County,New York,Northeast,42.73911,-78.85713,,9861.73,14191.27,59,January,1,2014-01
128,SO - 0005729,03-01-2014,Vimbo Company,Wholesale,Product 13,10,3825.7,38257,1836.336,MI,Kent County,Michigan,Midwest,42.91336,-85.70531,,18363.36,19893.64,52,January,1,2014-01
129,SO - 0005909,03-01-2014,Eire Corp,Wholesale,Product 17,9,3859.2,34732.8,1813.824,OH,Hamilton County,Ohio,Midwest,39.25479,-84.62414,,16324.416,18408.384,53,January,1,2014-01
130,SO - 0008255,03-01-2014,Twitterbri Ltd,Wholesale,Product 30,6,5681.6,34089.6,4090.752,CA,Shasta County,California,West,40.58654,-122.39168,,24544.512,9545.088,28,January,1,2014-01
131,SO - 000105,03-01-2014,Mita Corp,Wholesale,Product 13,6,1822.4,10934.4,1476.144,OK,Rogers County/Wagoner County/Osage County/Tulsa County,Oklahoma,South,36.12795,-95.90232,,8856.864,2077.536,19,January,1,2014-01
132,SO - 0003563,03-01-2014,Browsebug Company,Wholesale,Product 1,12,1165.8,13989.6,827.718,CA,Los Angeles County,California,West,33.83585,-118.34063,,9932.616,4056.984,29,January,1,2014-01
133,SO - 0004526,03-01-2014,SHISEIDO Ltd,Export,Product 5,5,3993.2,19966,2635.512,VA,Richmond city,Virginia,South,37.55376,-77.46026,,13177.56,6788.44,34,January,1,2014-01
134,SO - 0010280,03-01-2014,Roomm Company,Export,Product 18,8,1058.6,8468.8,529.3,CA,Los Angeles County,California,West,33.89585,-118.22007,,4234.4,4234.4,50,January,1,2014-01
